"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"12349",2073.5566727048,-6.88580231039315,1.3716627536355,-5.02004030665905,5.16606383719517e-07,2.34007431961632e-06
"80286",942.65871733756,1.68814867314498,0.336290312190862,5.01991467475539,5.16944364303314e-07,2.34082836231308e-06
"12266",15182.5493004573,-3.54554445150619,0.706315833914193,-5.01977200745711,5.17328432823765e-07,2.3417905310709e-06
"71951",102.469885638976,1.78586244833942,0.355806934973097,5.01918954579807,5.18899309721098e-07,2.34812260579362e-06
"74729",72.2444027754001,1.61543971782034,0.321994989723402,5.01697159700536,5.24923244434641e-07,2.37459477628239e-06
"20525",6119.22131299237,-1.33257000535798,0.265653079452223,-5.0162038704981,5.27024052017334e-07,2.38330823788356e-06
"225187",182.361948317001,9.14630582187676,1.82416262720594,5.01397500719884,5.33169151234229e-07,2.4102989652351e-06
"329002",861.388094761237,0.761442917906799,0.151927344605001,5.01188854374102,5.38984214098644e-07,2.4357803159001e-06
"319477",89.9744331921169,4.91907659453824,0.981692792638881,5.01081054218123,5.4201256184163e-07,2.448655228075e-06
"269224",207.50446278832,-1.12596849915296,0.224823777638495,-5.00822693658078,5.49337413106705e-07,2.4809255506553e-06
"51800",366.317732686017,4.90427941193327,0.979459912233181,5.00712622403448,5.52486982659977e-07,2.49432429353072e-06
"54128",754.401029010806,-1.69460714755499,0.338526896366417,-5.00582720529471,5.56226383943421e-07,2.5103762195965e-06
"68816",298.080448730369,-1.6172213473089,0.323110411536793,-5.00516631332613,5.58138204292522e-07,2.51817197097003e-06
"22428",474.993999124964,0.773227693298907,0.154509778707884,5.00439324789127,5.6038255866345e-07,2.52746237958981e-06
"242557",225.532084632932,-0.988294557120218,0.197501667071175,-5.00398083609117,5.61583424090509e-07,2.53204181433342e-06
"16440",2266.50583290111,-1.38105709764308,0.275997367101895,-5.00387779834586,5.61883837720162e-07,2.53255964901082e-06
"52635",4055.58143643973,1.26818218637562,0.253472509546492,5.00323363920068,5.63765442919328e-07,2.54020163914262e-06
"15531",4207.70221598224,-1.13451398498502,0.226783881666722,-5.00262177649944,5.65558333898408e-07,2.54743899044405e-06
"66451",133.016536592289,-8.28554906761308,1.65635029943445,-5.00229273387526,5.66524772062953e-07,2.55095021085951e-06
